iter	Passed	Remaining
742	2940	4974
743	2942	4967
744	2944	4960
745	2947	4954
746	2950	4949
747	2953	4942
748	2954	4934
749	2956	4926
750	2957	4918
751	2958	4910
752	2959	4901
753	2962	4896
754	2966	4891
755	2967	4882
756	2969	4875
757	2971	4868
758	2972	4860
759	2974	4853
760	2980	4852
761	2982	4845
762	2984	4838
763	2986	4830
764	2987	4823
765	2989	4816
766	2990	4808
767	2995	4805
768	2997	4797
769	3000	4792
770	3002	4785
771	3004	4778
772	3006	4772
773	3009	4766
774	3010	4757
775	3016	4758
776	3020	4753
777	3023	4748
778	3026	4743
779	3028	4737
780	3031	4731
781	3033	4724
782	3038	4722
783	3040	4716
784	3043	4710
785	3044	4703
786	3049	4700
787	3054	4698
788	3057	4693
789	3060	4687
790	3063	4682
791	3068	4680
792	3071	4674
793	3074	4669
794	3076	4662
795	3078	4655
796	3080	4649
797	3083	4644
798	3085	4638
799	3089	4634
800	3091	4627
801	3100	4630
802	3104	4627
803	3107	4621
804	3109	4616
805	3111	4608
806	3120	4613
807	3124	4608
808	3127	4604
809	3134	4604
810	3135	4596
811	3137	4590
812	3141	4586
813	3144	4581
814	3146	4574
815	3148	4567
816	3150	4561
817	3153	4556
818	3156	4551
819	3158	4545
820	3160	4538
821	3162	4531
822	3163	4524
823	3165	4517
824	3169	4514
825	3172	4508
826	3173	4501
827	3175	4495
828	3177	4488
829	3179	4481
830	3181	4475
831	3183	4469
832	3186	4464
833	3189	4458
834	3191	4452
835	3193	4446
836	3195	4439
837	3198	4435
838	3201	4429
839	3203	4424
840	3205	4417
841	3207	4411
842	3209	4404
843	3211	4398
844	3213	4392
845	3217	4388
846	3219	4382
847	3221	4376
848	3223	4369
849	3225	4363
850	3228	4358
851	3231	4353
852	3234	4348
853	3236	4342
854	3238	4336
855	3239	4329
856	3241	4323
857	3246	4321
858	3249	4316
859	3251	4309
860	3253	4303
861	3254	4297
862	3256	4290
863	3262	4289
864	3266	4285
865	3270	4282
866	3280	4287
867	3285	4284
868	3287	4278
869	3289	4273
870	3292	4267
871	3295	4262
872	3297	4257
873	3301	4253
874	3305	4249
875	3308	4245
876	3311	4240
877	3314	4235
878	3318	4232
879	3323	4229
880	3325	4223
881	3327	4218
882	3329	4211
883	3332	4207
884	3335	4202
885	3337	4196
886	3339	4190
887	3341	4184
888	3345	4180
889	3348	4176
890	3350	4170
891	3352	4164
892	3355	4159
893	3357	4153
894	3360	4148
895	3363	4144
896	3365	4138
897	3367	4132
898	3369	4126
899	3374	4124
900	3377	4119
